"nom_mun","edad","pob_tot","pob_h","pob_m","CVEGEO"
"Apaxco","Total",31898,15633,16265,"15 010"
"Apaxco","3 Años",533,269,264,"15 010"
"Apaxco","4 Años",590,318,272,"15 010"
"Apaxco","5 Años",548,246,302,"15 010"
"Apaxco","6 Años",508,248,260,"15 010"
"Apaxco","7 Años",558,270,288,"15 010"
"Apaxco","8 Años",542,288,254,"15 010"
"Apaxco","9 Años",563,260,303,"15 010"
"Apaxco","10 Años",633,316,317,"15 010"
"Apaxco","11 Años",585,291,294,"15 010"
"Apaxco","12 Años",574,287,287,"15 010"
"Apaxco","13 Años",560,290,270,"15 010"
"Apaxco","14 Años",571,291,280,"15 010"
"Apaxco","15 Años",543,289,254,"15 010"
"Apaxco","16 Años",511,250,261,"15 010"
"Apaxco","17 Años",553,274,279,"15 010"
"Apaxco","18 Años",587,291,296,"15 010"
"Apaxco","19 Años",478,247,231,"15 010"
"Apaxco","20 Años",612,334,278,"15 010"
"Apaxco","21 Años",508,255,253,"15 010"
"Apaxco","22 Años",553,282,271,"15 010"
"Apaxco","23 Años",509,252,257,"15 010"
"Apaxco","24 Años",520,253,267,"15 010"
"Atenco","Total",75489,37052,38437,"15 011"
"Atenco","3 Años",1260,651,609,"15 011"
"Atenco","4 Años",1215,636,579,"15 011"
"Atenco","5 Años",1320,621,699,"15 011"
"Atenco","6 Años",1282,642,640,"15 011"
"Atenco","7 Años",1333,692,641,"15 011"
"Atenco","8 Años",1428,730,698,"15 011"
"Atenco","9 Años",1328,677,651,"15 011"
"Atenco","10 Años",1432,701,731,"15 011"
"Atenco","11 Años",1451,746,705,"15 011"
"Atenco","12 Años",1477,729,748,"15 011"
"Atenco","13 Años",1459,786,673,"15 011"
"Atenco","14 Años",1491,731,760,"15 011"
"Atenco","15 Años",1553,791,762,"15 011"
"Atenco","16 Años",1395,707,688,"15 011"
"Atenco","17 Años",1457,731,726,"15 011"
"Atenco","18 Años",1560,793,767,"15 011"
"Atenco","19 Años",1276,638,638,"15 011"
"Atenco","20 Años",1504,752,752,"15 011"
"Atenco","21 Años",1246,666,580,"15 011"
"Atenco","22 Años",1379,637,742,"15 011"
"Atenco","23 Años",1268,610,658,"15 011"
"Atenco","24 Años",1263,619,644,"15 011"
"Atizapán","Total",12984,6287,6697,"15 012"
"Atizapán","3 Años",232,121,111,"15 012"
"Atizapán","4 Años",219,111,108,"15 012"
"Atizapán","5 Años",238,130,108,"15 012"
"Atizapán","6 Años",232,124,108,"15 012"
"Atizapán","7 Años",272,139,133,"15 012"
