"nom_mun","edad","pob_tot","pob_h","pob_m"
"Apaxco","18 Años",587,291,296
"Apaxco","19 Años",478,247,231
"Apaxco","20 Años",612,334,278
"Apaxco","21 Años",508,255,253
"Apaxco","22 Años",553,282,271
"Apaxco","23 Años",509,252,257
"Apaxco","24 Años",520,253,267
"Atenco","Total",75489,37052,38437
"Atenco","3 Años",1260,651,609
"Atenco","4 Años",1215,636,579
"Atenco","5 Años",1320,621,699
"Atenco","6 Años",1282,642,640
"Atenco","7 Años",1333,692,641
"Atenco","8 Años",1428,730,698
"Atenco","9 Años",1328,677,651
"Atenco","10 Años",1432,701,731
"Atenco","11 Años",1451,746,705
"Atenco","12 Años",1477,729,748
"Atenco","13 Años",1459,786,673
"Atenco","14 Años",1491,731,760
"Atenco","15 Años",1553,791,762
"Atenco","16 Años",1395,707,688
"Atenco","17 Años",1457,731,726
"Atenco","18 Años",1560,793,767
"Atenco","19 Años",1276,638,638
"Atenco","20 Años",1504,752,752
"Atenco","21 Años",1246,666,580
"Atenco","22 Años",1379,637,742
"Atenco","23 Años",1268,610,658
"Atenco","24 Años",1263,619,644
"Atizapán","Total",12984,6287,6697
"Atizapán","3 Años",232,121,111
"Atizapán","4 Años",219,111,108
"Atizapán","5 Años",238,130,108
"Atizapán","6 Años",232,124,108
"Atizapán","7 Años",272,139,133
"Atizapán","8 Años",278,141,137
"Atizapán","9 Años",233,101,132
"Atizapán","10 Años",332,169,163
"Atizapán","11 Años",240,130,110
"Atizapán","12 Años",282,139,143
"Atizapán","13 Años",254,121,133
"Atizapán","14 Años",251,128,123
"Atizapán","15 Años",253,122,131
"Atizapán","16 Años",238,106,132
"Atizapán","17 Años",259,124,135
"Atizapán","18 Años",242,116,126
"Atizapán","19 Años",229,117,112
"Atizapán","20 Años",238,107,131
"Atizapán","21 Años",202,99,103
"Atizapán","22 Años",218,103,115
"Atizapán","23 Años",220,106,114
"Atizapán","24 Años",208,99,109
"Atizapán de Zaragoza","Total",523674,253429,270245
"Atizapán de Zaragoza","3 Años",7456,3733,3723
"Atizapán de Zaragoza","4 Años",7659,3858,3801
